image,xml
Pascal_tomato\train\004_13_jpg.rf.30784b9686576c683758e1964c0f2103.jpg,Pascal_tomato\train\004_13_jpg.rf.30784b9686576c683758e1964c0f2103.xml
Pascal_tomato\train\004_13_jpg.rf.ba5f1913d1e9e1b197a2ca908b402e5e.jpg,Pascal_tomato\train\004_13_jpg.rf.ba5f1913d1e9e1b197a2ca908b402e5e.xml
Pascal_tomato\train\004_15_jpg.rf.4c295408cf9e79129eaed6f32e59b7e3.jpg,Pascal_tomato\train\004_15_jpg.rf.4c295408cf9e79129eaed6f32e59b7e3.xml
Pascal_tomato\train\004_16_jpg.rf.2914cc643f2b7e9ec9fc9a35d0aae226.jpg,Pascal_tomato\train\004_16_jpg.rf.2914cc643f2b7e9ec9fc9a35d0aae226.xml
Pascal_tomato\train\004_16_jpg.rf.512e134b3c8d19af8e25c62abe63d787.jpg,Pascal_tomato\train\004_16_jpg.rf.512e134b3c8d19af8e25c62abe63d787.xml
Pascal_tomato\train\004_17_jpg.rf.d5c6fd75e8196dcaf7a8e4e990873940.jpg,Pascal_tomato\train\004_17_jpg.rf.d5c6fd75e8196dcaf7a8e4e990873940.xml
Pascal_tomato\train\004_17_jpg.rf.f67960ec73c30b50be3be6b240a6ff49.jpg,Pascal_tomato\train\004_17_jpg.rf.f67960ec73c30b50be3be6b240a6ff49.xml
Pascal_tomato\train\004_18_jpg.rf.8feaf033b76f73a3f646f28494050a76.jpg,Pascal_tomato\train\004_18_jpg.rf.8feaf033b76f73a3f646f28494050a76.xml
Pascal_tomato\train\004_18_jpg.rf.c9e7693c2b092644f1d4b84dd5ca7ebb.jpg,Pascal_tomato\train\004_18_jpg.rf.c9e7693c2b092644f1d4b84dd5ca7ebb.xml
Pascal_tomato\train\004_21_jpg.rf.637de7851fba0289acf86ba713a9febf.jpg,Pascal_tomato\train\004_21_jpg.rf.637de7851fba0289acf86ba713a9febf.xml
Pascal_tomato\train\004_21_jpg.rf.baeacf5e3b33ef42a607f389ad2367f3.jpg,Pascal_tomato\train\004_21_jpg.rf.baeacf5e3b33ef42a607f389ad2367f3.xml
Pascal_tomato\train\004_23_jpg.rf.487016e34238701a18ec6286a525f01e.jpg,Pascal_tomato\train\004_23_jpg.rf.487016e34238701a18ec6286a525f01e.xml
Pascal_tomato\train\004_23_jpg.rf.9a4eb6566658515e748196a0af6b7553.jpg,Pascal_tomato\train\004_23_jpg.rf.9a4eb6566658515e748196a0af6b7553.xml
Pascal_tomato\train\004_5_jpg.rf.053f3e1dcea48b35baec9a835e89c4b2.jpg,Pascal_tomato\train\004_5_jpg.rf.053f3e1dcea48b35baec9a835e89c4b2.xml
Pascal_tomato\train\004_5_jpg.rf.38deb0e13a4aa5f67238ff26acda3f7e.jpg,Pascal_tomato\train\004_5_jpg.rf.38deb0e13a4aa5f67238ff26acda3f7e.xml
Pascal_tomato\train\004_8_jpg.rf.030e10d3889f5e1df199cc1dbf05de6c.jpg,Pascal_tomato\train\004_8_jpg.rf.030e10d3889f5e1df199cc1dbf05de6c.xml
Pascal_tomato\train\005_11_jpg.rf.d98f12bace7341b4ab636b56e1d6fe70.jpg,Pascal_tomato\train\005_11_jpg.rf.d98f12bace7341b4ab636b56e1d6fe70.xml
Pascal_tomato\train\005_11_jpg.rf.ed82249a8ef670bcad213705ad660b8c.jpg,Pascal_tomato\train\005_11_jpg.rf.ed82249a8ef670bcad213705ad660b8c.xml
Pascal_tomato\train\005_14_jpg.rf.10ab020a55c866a1463751569270483a.jpg,Pascal_tomato\train\005_14_jpg.rf.10ab020a55c866a1463751569270483a.xml
Pascal_tomato\train\005_14_jpg.rf.1e103935db43c43403175b04a4311c9a.jpg,Pascal_tomato\train\005_14_jpg.rf.1e103935db43c43403175b04a4311c9a.xml
Pascal_tomato\train\005_16_jpg.rf.7b1e396802cb8ff7436dc1a967a7933a.jpg,Pascal_tomato\train\005_16_jpg.rf.7b1e396802cb8ff7436dc1a967a7933a.xml
Pascal_tomato\train\005_16_jpg.rf.9ce2afe991eaa2bcc287e30aff7589bc.jpg,Pascal_tomato\train\005_16_jpg.rf.9ce2afe991eaa2bcc287e30aff7589bc.xml
Pascal_tomato\train\005_17_jpg.rf.67d5b5f61fc6a76ead44e797d469973a.jpg,Pascal_tomato\train\005_17_jpg.rf.67d5b5f61fc6a76ead44e797d469973a.xml
Pascal_tomato\train\005_17_jpg.rf.dc4c562668b65625729e4dfb901c78c1.jpg,Pascal_tomato\train\005_17_jpg.rf.dc4c562668b65625729e4dfb901c78c1.xml
Pascal_tomato\train\005_18_jpg.rf.75f1bf9b912746661bef3542592d0d5c.jpg,Pascal_tomato\train\005_18_jpg.rf.75f1bf9b912746661bef3542592d0d5c.xml
Pascal_tomato\train\005_18_jpg.rf.bba0ff497ea676eb7e83c5448ba63a32.jpg,Pascal_tomato\train\005_18_jpg.rf.bba0ff497ea676eb7e83c5448ba63a32.xml
Pascal_tomato\train\005_19_jpg.rf.18df33b6fc1f99f7a3acd2976d0d12af.jpg,Pascal_tomato\train\005_19_jpg.rf.18df33b6fc1f99f7a3acd2976d0d12af.xml
Pascal_tomato\train\005_19_jpg.rf.b06cb02d011ef567a8b4f4af50eea3c4.jpg,Pascal_tomato\train\005_19_jpg.rf.b06cb02d011ef567a8b4f4af50eea3c4.xml
Pascal_tomato\train\005_1_jpg.rf.01574ea9cd6f723e84c61feb61d3e5b9.jpg,Pascal_tomato\train\005_1_jpg.rf.01574ea9cd6f723e84c61feb61d3e5b9.xml
Pascal_tomato\train\005_1_jpg.rf.58504afc8b11c9730d82272f1b180571.jpg,Pascal_tomato\train\005_1_jpg.rf.58504afc8b11c9730d82272f1b180571.xml
Pascal_tomato\train\005_21_jpg.rf.0069585afa8ae5fcc2288efc61724347.jpg,Pascal_tomato\train\005_21_jpg.rf.0069585afa8ae5fcc2288efc61724347.xml
Pascal_tomato\train\005_21_jpg.rf.e57967b84d49fb64ba112575244f344a.jpg,Pascal_tomato\train\005_21_jpg.rf.e57967b84d49fb64ba112575244f344a.xml
Pascal_tomato\train\005_22_jpg.rf.a6e751bbc676a131380dd48f8c9113b6.jpg,Pascal_tomato\train\005_22_jpg.rf.a6e751bbc676a131380dd48f8c9113b6.xml
Pascal_tomato\train\005_23_jpg.rf.01d5a068454e70d0079ccab5baebf696.jpg,Pascal_tomato\train\005_23_jpg.rf.01d5a068454e70d0079ccab5baebf696.xml
Pascal_tomato\train\005_23_jpg.rf.5477f0b1e4f3c1b04558359a64197988.jpg,Pascal_tomato\train\005_23_jpg.rf.5477f0b1e4f3c1b04558359a64197988.xml
Pascal_tomato\train\005_24_jpg.rf.b13364ee03fb95cf0844ac269cddf824.jpg,Pascal_tomato\train\005_24_jpg.rf.b13364ee03fb95cf0844ac269cddf824.xml
Pascal_tomato\train\005_24_jpg.rf.c48b3a33b5557d95ade7278fc7d920f7.jpg,Pascal_tomato\train\005_24_jpg.rf.c48b3a33b5557d95ade7278fc7d920f7.xml
Pascal_tomato\train\005_2_jpg.rf.76ef9b3c299452906754e019bf29484b.jpg,Pascal_tomato\train\005_2_jpg.rf.76ef9b3c299452906754e019bf29484b.xml
Pascal_tomato\train\005_2_jpg.rf.93178b00249f99f21e08f30c46679796.jpg,Pascal_tomato\train\005_2_jpg.rf.93178b00249f99f21e08f30c46679796.xml
Pascal_tomato\train\005_6_jpg.rf.5cb06631353eb7b29d06667aff6a6f35.jpg,Pascal_tomato\train\005_6_jpg.rf.5cb06631353eb7b29d06667aff6a6f35.xml
Pascal_tomato\train\005_6_jpg.rf.e587df45bf887bc8569642ed9f416302.jpg,Pascal_tomato\train\005_6_jpg.rf.e587df45bf887bc8569642ed9f416302.xml
Pascal_tomato\train\005_7_jpg.rf.0742df41ba4a1836093647dea9f8cafc.jpg,Pascal_tomato\train\005_7_jpg.rf.0742df41ba4a1836093647dea9f8cafc.xml
Pascal_tomato\train\005_7_jpg.rf.3f8535dd52ea40f9f444931a8af60a97.jpg,Pascal_tomato\train\005_7_jpg.rf.3f8535dd52ea40f9f444931a8af60a97.xml
Pascal_tomato\train\006_11_jpg.rf.9a118a805c59438ad05ad0e9dc3c9815.jpg,Pascal_tomato\train\006_11_jpg.rf.9a118a805c59438ad05ad0e9dc3c9815.xml
Pascal_tomato\train\006_12_jpg.rf.5aec34b9ce9ac34fc59f1aa235f50815.jpg,Pascal_tomato\train\006_12_jpg.rf.5aec34b9ce9ac34fc59f1aa235f50815.xml
Pascal_tomato\train\006_12_jpg.rf.d2349431eba1f96426c2a0c58369c8dd.jpg,Pascal_tomato\train\006_12_jpg.rf.d2349431eba1f96426c2a0c58369c8dd.xml
Pascal_tomato\train\006_15_jpg.rf.562cd544ef13c21ffadd3060c240031f.jpg,Pascal_tomato\train\006_15_jpg.rf.562cd544ef13c21ffadd3060c240031f.xml
Pascal_tomato\train\006_15_jpg.rf.ea3f02b578692adb7940d5c0ad6ac681.jpg,Pascal_tomato\train\006_15_jpg.rf.ea3f02b578692adb7940d5c0ad6ac681.xml
Pascal_tomato\train\006_16_jpg.rf.02d2e6dcc752917482e533be743b00a3.jpg,Pascal_tomato\train\006_16_jpg.rf.02d2e6dcc752917482e533be743b00a3.xml
Pascal_tomato\train\006_16_jpg.rf.272dd08fd0410d8498caeccf1d833a97.jpg,Pascal_tomato\train\006_16_jpg.rf.272dd08fd0410d8498caeccf1d833a97.xml
Pascal_tomato\train\006_17_jpg.rf.77c884ced6723d64cebede54a8133edd.jpg,Pascal_tomato\train\006_17_jpg.rf.77c884ced6723d64cebede54a8133edd.xml
Pascal_tomato\train\006_17_jpg.rf.e89cd7dcdec9c4d4df9628a3a52f316a.jpg,Pascal_tomato\train\006_17_jpg.rf.e89cd7dcdec9c4d4df9628a3a52f316a.xml
Pascal_tomato\train\006_1_jpg.rf.4a910f2f6bb558eb95010e4e99384342.jpg,Pascal_tomato\train\006_1_jpg.rf.4a910f2f6bb558eb95010e4e99384342.xml
Pascal_tomato\train\006_1_jpg.rf.4b111a477900e209048bc14042d55662.jpg,Pascal_tomato\train\006_1_jpg.rf.4b111a477900e209048bc14042d55662.xml
Pascal_tomato\train\006_21_jpg.rf.7809963b08c6d21aef9e995a0ba51a07.jpg,Pascal_tomato\train\006_21_jpg.rf.7809963b08c6d21aef9e995a0ba51a07.xml
Pascal_tomato\train\006_24_jpg.rf.95e8d68cf0eddbe8e97a0cb9d15d225d.jpg,Pascal_tomato\train\006_24_jpg.rf.95e8d68cf0eddbe8e97a0cb9d15d225d.xml
Pascal_tomato\train\006_24_jpg.rf.9f4a5b8f6339e54348dcc1468b0294db.jpg,Pascal_tomato\train\006_24_jpg.rf.9f4a5b8f6339e54348dcc1468b0294db.xml
Pascal_tomato\train\006_2_jpg.rf.4cd8810cfaa85b349882377555d7e3e1.jpg,Pascal_tomato\train\006_2_jpg.rf.4cd8810cfaa85b349882377555d7e3e1.xml
Pascal_tomato\train\006_2_jpg.rf.db1d27f8a4f83bf45a61bea2e3e47102.jpg,Pascal_tomato\train\006_2_jpg.rf.db1d27f8a4f83bf45a61bea2e3e47102.xml
Pascal_tomato\train\006_4_jpg.rf.826bfe1f25dd81997e5a4ce41e61a73d.jpg,Pascal_tomato\train\006_4_jpg.rf.826bfe1f25dd81997e5a4ce41e61a73d.xml
Pascal_tomato\train\006_8_jpg.rf.2414696da9f5575792904f4870c9d3d7.jpg,Pascal_tomato\train\006_8_jpg.rf.2414696da9f5575792904f4870c9d3d7.xml
Pascal_tomato\train\006_8_jpg.rf.732c8a16ef174fd8ed927cfddd02242c.jpg,Pascal_tomato\train\006_8_jpg.rf.732c8a16ef174fd8ed927cfddd02242c.xml
Pascal_tomato\train\007_11_jpg.rf.3fa8e28626afb69eafe39e09b4ef7314.jpg,Pascal_tomato\train\007_11_jpg.rf.3fa8e28626afb69eafe39e09b4ef7314.xml
Pascal_tomato\train\007_17_jpg.rf.a2b4a298605df61daabdb4ad08a99c7e.jpg,Pascal_tomato\train\007_17_jpg.rf.a2b4a298605df61daabdb4ad08a99c7e.xml
Pascal_tomato\train\007_17_jpg.rf.cb7f15f6bc092e69adfcd987e1c17307.jpg,Pascal_tomato\train\007_17_jpg.rf.cb7f15f6bc092e69adfcd987e1c17307.xml
Pascal_tomato\train\007_1_jpg.rf.24d619ebea841b314bf1261c2b2fd897.jpg,Pascal_tomato\train\007_1_jpg.rf.24d619ebea841b314bf1261c2b2fd897.xml
Pascal_tomato\train\007_1_jpg.rf.e7b4fea38d29f45588ea19f02d919f7a.jpg,Pascal_tomato\train\007_1_jpg.rf.e7b4fea38d29f45588ea19f02d919f7a.xml
Pascal_tomato\train\007_22_jpg.rf.22b38a27edfd9734b4dff51b0c9add37.jpg,Pascal_tomato\train\007_22_jpg.rf.22b38a27edfd9734b4dff51b0c9add37.xml
Pascal_tomato\train\007_22_jpg.rf.8f7d34bf5829a39e64895360545eb0a8.jpg,Pascal_tomato\train\007_22_jpg.rf.8f7d34bf5829a39e64895360545eb0a8.xml
Pascal_tomato\train\007_23_jpg.rf.a4cbcb2e5b24754b70b5227cf32ce7a2.jpg,Pascal_tomato\train\007_23_jpg.rf.a4cbcb2e5b24754b70b5227cf32ce7a2.xml
Pascal_tomato\train\007_23_jpg.rf.c830847e4b760370d59892d8e6e8f2c0.jpg,Pascal_tomato\train\007_23_jpg.rf.c830847e4b760370d59892d8e6e8f2c0.xml
Pascal_tomato\train\007_3_jpg.rf.5100fab046ae97aef330e8d25bb83ce1.jpg,Pascal_tomato\train\007_3_jpg.rf.5100fab046ae97aef330e8d25bb83ce1.xml
Pascal_tomato\train\007_3_jpg.rf.6f8eb1bd1558b05e5e472157ed073ec3.jpg,Pascal_tomato\train\007_3_jpg.rf.6f8eb1bd1558b05e5e472157ed073ec3.xml
Pascal_tomato\train\007_7_jpg.rf.ab192d72ed6aec06c1b939e387fa0e88.jpg,Pascal_tomato\train\007_7_jpg.rf.ab192d72ed6aec06c1b939e387fa0e88.xml
Pascal_tomato\train\007_7_jpg.rf.e8bdace0dd4bd991fb0b0e9fd40245fc.jpg,Pascal_tomato\train\007_7_jpg.rf.e8bdace0dd4bd991fb0b0e9fd40245fc.xml
Pascal_tomato\train\007_8_jpg.rf.74aa8b6c0b011d2b31f70d9d7f7c1821.jpg,Pascal_tomato\train\007_8_jpg.rf.74aa8b6c0b011d2b31f70d9d7f7c1821.xml
Pascal_tomato\train\007_8_jpg.rf.8d02eb0f47d1aa75a5460fefeb7d77e3.jpg,Pascal_tomato\train\007_8_jpg.rf.8d02eb0f47d1aa75a5460fefeb7d77e3.xml
Pascal_tomato\train\008_13_jpg.rf.aea8fd221bf6b0538482b65b685ffa21.jpg,Pascal_tomato\train\008_13_jpg.rf.aea8fd221bf6b0538482b65b685ffa21.xml
Pascal_tomato\train\008_13_jpg.rf.dab25070b7fd082f6d9bfa963e5c4ed1.jpg,Pascal_tomato\train\008_13_jpg.rf.dab25070b7fd082f6d9bfa963e5c4ed1.xml
Pascal_tomato\train\008_14_jpg.rf.c3d2afafdbd1ae87191da25b1292a37e.jpg,Pascal_tomato\train\008_14_jpg.rf.c3d2afafdbd1ae87191da25b1292a37e.xml
Pascal_tomato\train\008_14_jpg.rf.ddf517de55586ffbf1b48e74a8632947.jpg,Pascal_tomato\train\008_14_jpg.rf.ddf517de55586ffbf1b48e74a8632947.xml
Pascal_tomato\train\008_18_jpg.rf.4c867edc6f5ad10862c014c62c078a54.jpg,Pascal_tomato\train\008_18_jpg.rf.4c867edc6f5ad10862c014c62c078a54.xml
Pascal_tomato\train\008_18_jpg.rf.e843c9eaf85cef1cb14fb31ec6534412.jpg,Pascal_tomato\train\008_18_jpg.rf.e843c9eaf85cef1cb14fb31ec6534412.xml
Pascal_tomato\train\008_19_jpg.rf.5c360c6056dd0ca98289a50259cb2f83.jpg,Pascal_tomato\train\008_19_jpg.rf.5c360c6056dd0ca98289a50259cb2f83.xml
Pascal_tomato\train\008_19_jpg.rf.b802017d01befed8845527efdf3eb53e.jpg,Pascal_tomato\train\008_19_jpg.rf.b802017d01befed8845527efdf3eb53e.xml
Pascal_tomato\train\008_1_jpg.rf.49cc239ca4791e83efec9260a388e877.jpg,Pascal_tomato\train\008_1_jpg.rf.49cc239ca4791e83efec9260a388e877.xml
Pascal_tomato\train\008_20_jpg.rf.41fd5c74c5abce8c4a5aac53468c527a.jpg,Pascal_tomato\train\008_20_jpg.rf.41fd5c74c5abce8c4a5aac53468c527a.xml
Pascal_tomato\train\008_22_jpg.rf.4550fb599fa80b52b3d2f8671a860940.jpg,Pascal_tomato\train\008_22_jpg.rf.4550fb599fa80b52b3d2f8671a860940.xml
Pascal_tomato\train\008_22_jpg.rf.f6bf909f70d825eb04e0ef9a59d6497d.jpg,Pascal_tomato\train\008_22_jpg.rf.f6bf909f70d825eb04e0ef9a59d6497d.xml
Pascal_tomato\train\008_23_jpg.rf.ccc109c0be8ba38256fd157a2e15cca2.jpg,Pascal_tomato\train\008_23_jpg.rf.ccc109c0be8ba38256fd157a2e15cca2.xml
Pascal_tomato\train\008_24_jpg.rf.7d07775ddd2b7fe4da1c85d7d7769476.jpg,Pascal_tomato\train\008_24_jpg.rf.7d07775ddd2b7fe4da1c85d7d7769476.xml
Pascal_tomato\train\008_24_jpg.rf.a84ecfa06730f638e72e3d03eef4c646.jpg,Pascal_tomato\train\008_24_jpg.rf.a84ecfa06730f638e72e3d03eef4c646.xml
Pascal_tomato\train\008_3_jpg.rf.a2deebcb31d0dcca873b4f3c53e14a1d.jpg,Pascal_tomato\train\008_3_jpg.rf.a2deebcb31d0dcca873b4f3c53e14a1d.xml
Pascal_tomato\train\008_3_jpg.rf.d2c000e246694ba6653109552472ee6b.jpg,Pascal_tomato\train\008_3_jpg.rf.d2c000e246694ba6653109552472ee6b.xml
